PassengerNumber;Name;distination;gateNum;arrival;departure
1;Jens;LON;1;04-03-2021 15:01;04-03-2021 18:01
2;Erik;CPH;2;04-03-2021 16:01;04-03-2021 18:31
3;Kasper;LON;1;04-03-2021 15:01;04-03-2021 18:01
4;Rasmus;STO;3;04-03-2021 15:01;04-03-2021 18:02
5;William;CPH;2;04-03-2021 16:01;04-03-2021 18:31
6;Lars;STO;3;04-03-2021 15:01;04-03-2021 18:02
7;Mikkel;LON;1;04-03-2021 15:01;04-03-2021 18:01
8;Jonas;CPH;2;04-03-2021 16:01;04-03-2021 18:31
9;Svend;STO;3;04-03-2021 15:01;04-03-2021 18:02
10;Frederik;LON;1;04-03-2021 15:01;04-03-2021 18:01
11;Niels;CPH;2;04-03-2021 16:01;04-03-2021 18:31
12;Ole;LON;1;04-03-2021 15:01;04-03-2021 18:01
